                  Brands Order Lines   Orders Products
short             object                              
long              object                              
id                             int64                  
id_order                       int64                  
product_id                     int64                  
product_quantity               int64                  
sku                           object            object
unit_price                    object                  
date                          object                  
order_id                                int64         
created_date                           object         
total_paid                            float64         
state                                  object         
name                                            object
desc                                            object
price                                           object
promo_price                                     object
in_stock                                         int64
type                                            object
